item,cue,target,distractor1 ,distractor 2,afectocue,afectotarget,afectoD1,afectoD2,distancia,ceshard
163,AMANECER,AFECTO,RIÑA,SÍFILIS,1,2,2,2,2,0
164,TARTA,HAMBRE,HOMICIDA,IGNORANCIA,1,2,2,2,1,0
165,CORTESÍA,FALSO,MILAGRO,JUGUETE,1,2,1,1,1,0
166,LOGRO,DIFICULTAD,PLAYA,AZUL,1,2,1,1,1,0
167,RISA,EXPLOSIÓN,MOSQUITO,PODRIDO,1,2,2,2,2,0
168,AGUA,SUCIEDAD,AMENAZA,MANÍACO,1,2,2,2,2,0
169,TRAICIÓN,HONOR,ENCANTO,CHOCOLATE,2,1,2,2,2,0
170,VÓMITO,CENA,ACUERDO,AGRADECIMIENTO,2,1,2,2,2,0
171,ARROGANCIA,ELEGANCIA,MISERIA,PUS,2,1,2,2,1,1
172,REVÓLVER,LIBERTAD,INUNDACIÓN,MALARIA,2,1,2,2,2,1
173,FRAUDE,CORRUPCIÓN,OJOS,NIEVE,2,2,1,1,1,0
174,LUCHA,VIOLENCIA,AFECTO,SOCIABILIDAD,2,2,1,1,1,0
175,INUNDACIÓN,TRAGEDIA,IRRITACIÓN,LADRÓN,2,2,2,2,1,0
176,QUEMADURA,AMPOLLA,CÁNCER,PERVERSIÓN,2,2,2,2,1,0
177,TERNURA,NIÑO,DIGNIDAD,HONESTIDAD,1,1,1,1,1,0
178,ESPERANZA,DESEO,GENEROSIDAD,CHOCOLATE,1,1,1,1,1,1
179,MATRIMONIO,HOGAR,PESTE,DESPEDAZAR,1,1,2,2,1,0
180,ABUNDANCIA,RICO,PENA,LESION,1,1,2,2,1,0
181,FIESTA,DROGA,ALBA,PRADERA,1,2,1,1,1,1
182,LEALTAD,INFIDELIDAD,BELLEZA,ARCOIRIS,1,2,1,1,1,1
183,BAÑO,SUCIEDAD,CORRUPTO,CEMENTERIO,1,2,1,1,1,0
184,BODA,BUROCRACIA,CHOQUE,ESGUINCE,1,2,1,1,2,0
185,DESPRECIO,DINERO,PASIÓN,AZUL,2,1,1,1,1,1
186,ASESINO,PELÍCULA,INSPIRACIÓN,SUAVIDAD,2,1,1,1,1,0
187,CAOS,ORDEN,CAÍDA,FÉTIDO,1,2,1,1,1,0
188,DEBILIDAD,NIÑO,MANÍA,QUISTE,1,2,1,1,2,0
189,PIOJO,SUCIEDAD,EXTRAORDINARIO,AGRADECIDO,2,2,1,1,1,0
190,ADICTO,PROBLEMA,BEBÉ,HONOR,2,2,1,1,1,0
191,ÚLCERA,HOSPITAL,HOSTILIDAD,VIOLACIÓN,2,2,2,2,1,0
192,VIOLACIÓN,TRAUMA,ESTRÉS,FIEBRE,2,2,2,2,1,0
